model,comparison,image_key,excluded_stage,reason
surya,run_1_to_run_2,val/10/108/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/108/9,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/1,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/10,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/11,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/12,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/23,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/24,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/25,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/26,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/10/179/9,run_1,missing run_1 record
