configuration,model,stage,records,manifest_records,coverage,pages,complete_pages,corpus_cer,corpus_wer,mean_word_cer,mean_word_wer,mean_page_cer,mean_page_wer,exact_accuracy,missing_output_rate
surya/raw,surya,raw,512,961,0.5327783558792925,22,21,0.6772754915872694,292.0,0.8082412425012772,1.296875,0.6943695406409183,1.0392554612712717,0.025390625,0.5
surya/run_1,surya,run_1,501,961,0.5213319458896982,21,20,0.7141089108910891,321.0,0.8902608720187186,1.3852295409181636,0.7226943657529464,1.0918737060041408,0.013972055888223553,0.48502994011976047
surya/run_2,surya,run_2,961,961,1.0,40,40,0.6941035943099142,568.0,0.8768888384892821,1.3121748178980228,0.7054655320077875,1.058004077444295,0.02809573361082206,0.5026014568158168
tesseract/raw,tesseract,raw,961,961,1.0,40,40,0.7960690628732762,200.0,0.9077221757043634,1.0343392299687826,0.85379485581977,0.9905028703180877,0.009365244536940686,0.7596253902185224
tesseract/run_1,tesseract,run_1,961,961,1.0,40,40,0.7576284069931589,585.0,0.8743426830866385,1.417273673257024,0.7794580861175792,1.246459165834166,0.001040582726326743,0.4308012486992716
tesseract/run_2,tesseract,run_2,961,961,1.0,40,40,0.6873710500597242,537.0,0.7951491045663782,1.396462018730489,0.6974321174125115,1.2666174767261724,0.01040582726326743,0.29136316337148804
