page_key,split,writer_id,page_id,source_image_paths,surya_cer,tesseract_cer,surya_llm_score,tesseract_llm_score,surya_missing_output_rate,tesseract_missing_output_rate,conjunct_density,diacritic_density,contrast_std,blur_laplacian_variance,foreground_density,likely_explanation
test_13_12,test,13,12,/home/tom/telugu_data/ground_truth/sample_set/test/13/12/1.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/2.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/3.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/4.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/5.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/6.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/7.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/8.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/9.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/10.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/11.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/12.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/13.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/14.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/15.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/16.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/17.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/18.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/19.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/20.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/21.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/22.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/12/23.jpg,0.8083333333333333,0.9,2.0,1.0,0.6521739130434783,0.6956521739130435,0.08333333333333333,0.3958333333333333,22.364578269639743,40.72395019930968,0.047436012961795816,low edge sharpness; low contrast; many empty OCR regions
test_13_13,test,13,13,/home/tom/telugu_data/ground_truth/sample_set/test/13/13/1.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/2.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/3.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/4.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/5.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/6.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/7.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/8.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/9.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/10.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/11.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/12.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/13.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/14.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/15.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/16.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/17.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/18.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/19.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/20.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/21.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/22.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/23.jpg;/home/tom/telugu_data/ground_truth/sample_set/test/13/13/24.jpg,0.8691588785046729,0.8551401869158879,2.0,1.0,0.8333333333333334,0.6666666666666666,0.06542056074766354,0.3691588785046729,22.852961008344938,43.56063222314322,0.05058947859862888,low edge sharpness; low contrast; many empty OCR regions
val_10_53,val,10,53,/home/tom/telugu_data/ground_truth/sample_set/val/10/53/1.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/2.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/3.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/4.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/5.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/6.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/7.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/8.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/9.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/10.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/11.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/12.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/13.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/14.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/15.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/16.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/17.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/18.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/19.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/20.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/21.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/22.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/23.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/24.jpg;/home/tom/telugu_data/ground_truth/sample_set/val/10/53/25.jpg,0.8733624454148472,0.8122270742358079,1.0,2.0,0.76,0.48,0.07423580786026202,0.3930131004366812,24.166455810181002,46.387185806060025,0.0636871140095788,low edge sharpness; low contrast; many empty OCR regions
