configuration,scenario,full_corpus_regions,full_corpus_pages,serial_seconds,serial_hours,serial_days,practical_workers,utilization,practical_hours,projected_result_gib,paid_ocr_api_cost_usd
surya/raw,best_case_median,126539,5368,2453978.723539573,681.6607565387703,28.402531522448765,4,0.75,227.22025217959012,0.08773715213646938,0.0
surya/raw,expected_mean,126539,5368,2571375.944036041,714.271095565567,29.761295648565287,4,0.75,238.0903651885223,0.08773715213646938,0.0
surya/raw,conservative_p95,126539,5368,3968115.045990135,1102.254179441704,45.92725747673767,4,0.75,367.4180598139014,0.08773715213646938,0.0
surya/processed,best_case_median,126539,5368,1419814.8010649122,394.393000295809,16.43304167899204,4,0.75,131.46433343193632,0.08825635870009599,0.0
surya/processed,expected_mean,126539,5368,1573149.0229748676,436.985839715241,18.207743321468374,4,0.75,145.661946571747,0.08825635870009599,0.0
surya/processed,conservative_p95,126539,5368,2942097.993166599,817.2494425462775,34.05206010609489,4,0.75,272.41648084875914,0.08825635870009599,0.0
tesseract/raw,best_case_median,126539,5368,114072.8321222667,31.68689781174075,1.3202874088225311,4,0.75,10.56229927058025,0.04754769032516756,0.0
tesseract/raw,expected_mean,126539,5368,116174.20121299909,32.270611448055305,1.3446088103356377,4,0.75,10.756870482685102,0.04754769032516756,0.0
tesseract/raw,conservative_p95,126539,5368,148501.8265688909,41.25050738024747,1.7187711408436446,4,0.75,13.750169126749157,0.04754769032516756,0.0
tesseract/processed,best_case_median,126539,5368,73930.53045587929,20.53625845996647,0.8556774358319361,4,0.75,6.845419486655489,0.048932932878376356,0.0
tesseract/processed,expected_mean,126539,5368,75235.42100970806,20.89872805825224,0.8707803357605101,4,0.75,6.9662426860840805,0.048932932878376356,0.0
tesseract/processed,conservative_p95,126539,5368,88631.6491332079,24.619902537002194,1.0258292723750915,4,0.75,8.206634179000732,0.048932932878376356,0.0
