configuration,observed_regions,mean_seconds_per_region,median_seconds_per_region,p95_seconds_per_region,regions_per_hour_at_mean,observed_result_bytes_per_region
surya/raw,512,20.3208176454377,19.393062403998556,31.35883044745205,177.1582257571338,744.490234375
surya/processed,961,12.432127826005166,11.220373174000997,23.25052350000078,289.5723121885558,748.8959417273674
tesseract/raw,961,0.9180900845826117,0.9014835910056718,1.173565671997494,3921.183836373373,403.46409989594173
tesseract/processed,961,0.5945631071030122,0.5842509459998837,0.7004295050001019,6054.86609746251,415.21852237252864
