configuration,reference_character,hypothesis_character,count
tesseract/processed,ర,ళ,2
tesseract/processed,శ,జ,2
tesseract/processed,్,ౌ,2
tesseract/processed,ర,ో,2
tesseract/processed,వ,ప,2
tesseract/processed,త,ీ,2
tesseract/processed,ీ,మ,2
tesseract/processed,ై, ,2
tesseract/processed,య,ై,2
tesseract/processed,ణ,ం,2
tesseract/processed,వ,ఏ,2
tesseract/processed,ప,జ,2
tesseract/processed,ల,న,2
tesseract/processed,్,ద,2
tesseract/processed,ళ, ,2
tesseract/processed,క,ొ,2
tesseract/processed,ద,ల,2
tesseract/processed,స,ు,2
tesseract/processed,ు,ృ,2
tesseract/processed,ా,గ,2
tesseract/processed,ో,్,2
tesseract/processed,న,ణ,2
tesseract/processed,ఈ,ర,2
tesseract/processed,ప,న,2
tesseract/processed,న,ి,2
tesseract/processed,చ,ణ,2
tesseract/processed,త,డ,2
tesseract/processed,ద,భ,2
tesseract/processed,ర,బ,2
tesseract/processed,ల,ీ,2
tesseract/processed,ా,వ,2
tesseract/processed,ప,డ,2
tesseract/processed,న,డ,2
tesseract/processed,బ,ఖ,2
tesseract/processed,ల,గ,2
tesseract/processed,ే,హ,2
tesseract/processed,ప,హ,2
tesseract/processed,ీ,ే,2
tesseract/processed,య,గ,2
tesseract/processed,ర,మ,2
tesseract/processed,క,న,2
tesseract/processed,వ,న,2
tesseract/processed,ి,స,2
tesseract/processed,ీ,త,2
tesseract/processed,ర,ట,2
tesseract/processed,వ,హ,2
tesseract/processed,స,ి,2
tesseract/processed,అ,ర,2
tesseract/processed,త,ి,2
tesseract/processed,స,చ,2
tesseract/processed,ర,స,2
tesseract/processed,ై,ర,2
tesseract/processed,౯,్,2
tesseract/processed,ర,న,2
tesseract/processed,ి,మ,2
tesseract/processed,ష,న,2
tesseract/processed,ు,హ,2
tesseract/processed,వ,ణ,2
tesseract/processed,ట,త,2
tesseract/processed,డ,స,2
tesseract/processed,ా,ం,2
tesseract/processed,భ,ఖ,2
tesseract/processed,ే,ట,2
tesseract/processed,య,శ,2
tesseract/processed,య,న,2
tesseract/processed,ణ,ా,2
tesseract/processed,డ,మ,2
tesseract/processed,ీ,‌,2
tesseract/processed,ట,ు,2
tesseract/processed,య,స,2
tesseract/processed,ో,ు,2
tesseract/processed,ై,ా,2
tesseract/processed,స,బ,2
tesseract/processed,చ,ీ,2
tesseract/processed,య,డ,2
tesseract/processed,ప,ీ,2
tesseract/processed,ే,ష,2
tesseract/processed,న,ట,2
tesseract/processed,ట,చ,2
tesseract/processed,మ,స,2
tesseract/processed,ూ,ా,2
tesseract/processed,వ,ా,2
tesseract/processed,ద,చ,2
tesseract/processed,గ,్,2
tesseract/processed,వ,జ,2
tesseract/processed,స,ర,2
tesseract/processed,ం,ణ,2
tesseract/processed,మ,ప,2
tesseract/processed,య,హ,2
tesseract/processed,ర,ప,2
tesseract/processed,ట,డ,2
tesseract/processed,్,ఆ,2
tesseract/processed,న,ల,2
tesseract/processed,్,ొ,2
tesseract/processed,ం,శ,2
tesseract/processed,క,య,2
tesseract/processed,ూ, ,2
tesseract/processed,భ,ట,2
tesseract/processed,క,ఓ,2
tesseract/processed,ల,ఆ,2
tesseract/processed,ా,‌,2
tesseract/processed,ే,ప,2
tesseract/processed,య,త,2
tesseract/processed,ృ, ,2
tesseract/processed,ు,ూ,2
tesseract/processed,ో,ి,2
tesseract/processed,వ,క,2
tesseract/processed,ి,౨,2
tesseract/processed,ల,ు,2
tesseract/processed,శ,క,2
tesseract/processed,్,ృ,2
tesseract/processed,ట,ా,2
tesseract/processed,ో,ట,2
tesseract/processed,ి,ఎ,2
tesseract/processed,డ,య,2
tesseract/processed,ద,ి,2
tesseract/processed,న,శ,2
tesseract/processed,ా,ే,2
tesseract/processed,వ,ఎ,2
tesseract/processed,చ,ు,2
tesseract/processed,వ,౨,2
tesseract/processed,ర,ం,2
tesseract/processed,స,త,2
tesseract/processed,ీ,ు,2
tesseract/processed,ద,ు,2
tesseract/processed,గ,‌,2
tesseract/processed,డ,త,2
tesseract/processed,ే,ం,2
surya/raw,ట,ా,1
surya/raw,్,హ,1
surya/raw,ట,ు,1
surya/raw,్,ూ,1
surya/raw,భ,ం,1
surya/raw,్,ో,1
surya/raw,ే,మ,1
surya/raw,క,గ,1
surya/raw,థ,ే,1
surya/raw,ధ,మ,1
surya/raw,ే,ౌ,1
surya/raw,వ,ద,1
surya/raw,ే,‌,1
surya/raw,మ,స,1
surya/raw,ల,న,1
surya/raw,ే,త,1
surya/raw,బ,ే,1
surya/raw,ద,ు,1
surya/raw,జ,ీ,1
surya/raw,థ,ర,1
surya/raw,స,య,1
surya/raw,ద,హ,1
surya/raw,క,హ,1
surya/raw,చ,స,1
surya/raw,బ,భ,1
surya/raw,ల,య,1
surya/raw,ె,మ,1
surya/raw,మ,క,1
surya/raw,జ,ె,1
surya/raw,న,ల,1
surya/raw,ప,ష,1
surya/raw,ప,య,1
surya/raw,య,బ,1
surya/raw,ఎ,మ,1
surya/raw,స,ే,1
surya/raw,ి,ట,1
surya/raw,డ,వ,1
surya/raw,ఎ,ి,1
surya/raw,ల,శ,1
surya/raw,ి,క,1
surya/raw,జ,త,1
surya/raw,ా,ం,1
surya/raw,ప,ళ,1
surya/raw,క,ు,1
surya/raw,ట,ై,1
surya/raw,ర,న,1
surya/raw,జ,న,1
surya/raw,ర,ూ,1
surya/raw,న,ే,1
surya/raw,ి,మ,1
surya/raw,ం,‌,1
surya/raw,చ,ి,1
surya/raw,్,ే,1
surya/raw,ు,ే,1
surya/raw,గ,డ,1
surya/raw,ల,‍,1
surya/raw,క,‍,1
surya/raw,ద,ట,1
surya/raw,య,స,1
surya/raw,న,య,1
surya/raw,ణ,ర,1
surya/raw,శ,హ,1
surya/raw,ా,ై,1
surya/raw,ట,గ,1
surya/raw,ణ,హ,1
surya/raw,త,డ,1
surya/raw,ే,ొ,1
surya/raw,ే,న,1
surya/raw,్,ౌ,1
surya/raw,త,ద,1
surya/raw,ా,మ,1
surya/raw,ధ,థ,1
surya/raw,మ,‌,1
surya/raw,ై, ,1
surya/raw,న,‌,1
surya/raw,శ,య,1
surya/raw,ల,ం,1
surya/raw,ో,గ,1
surya/raw,ి,ొ,1
surya/raw,ర,ళ,1
surya/raw,మ,ం,1
surya/raw,ద,న,1
surya/raw,ు,బ,1
surya/raw,త,య,1
surya/raw,్,వ,1
surya/raw,త,ై,1
surya/raw,భ,న,1
surya/raw,ై,ీ,1
surya/raw,య,ృ,1
surya/raw,్,గ,1
surya/raw,ణ,ం,1
surya/raw,ు,ె,1
surya/raw,న,క,1
surya/raw,ం,ల,1
surya/raw,ట,ల,1
surya/raw,ూ,ో,1
surya/raw,ఉ,ర,1
surya/raw,శ,ళ,1
surya/raw,ా,ల,1
surya/raw,ే,ర,1
surya/raw,మ,ా,1
surya/raw,చ,త,1
surya/raw,జ,్,1
surya/raw,ర, ,1
surya/raw,ా,స,1
surya/raw,మ,ౌ,1
surya/raw,ా,క,1
surya/raw,వ,ల,1
surya/raw,ర,‍,1
surya/raw,శ,ష,1
surya/raw,వ,ా,1
surya/raw,ర,థ,1
surya/raw,ి,వ,1
surya/raw,ై,‍,1
surya/raw,శ,వ,1
surya/raw,ా,‍,1
surya/raw,ై,ే,1
surya/raw,ఓ, ,1
surya/raw,జ,ు,1
surya/raw,స,ల,1
surya/raw,ద, ,1
surya/raw,ీ,ద,1
surya/raw,ల,ణ,1
surya/raw,ై,ా,1
surya/raw,ఆ,ొ,1
surya/raw,ల,త,1
surya/raw,ప,ీ,1
surya/raw,డ,ష,1
surya/raw,డ,ట,1
surya/raw,ి,ై,1
surya/raw,ి,ఉ,1
surya/raw,హ,ప,1
surya/raw,ృ,్,1
surya/raw,య,భ,1
surya/raw,ప,ల,1
surya/raw,ీ,ొ,1
surya/raw,య,ల,1
surya/raw,స,శ,1
surya/raw,త,ర,1
surya/raw,న,వ,1
surya/raw,ళ,ష,1
surya/raw,ి,జ,1
surya/raw,గ,ఞ,1
surya/raw,ఇ,బ,1
surya/raw,త,్,1
surya/raw,త,శ,1
surya/raw,త,ష,1
surya/raw,ర,ం,1
surya/raw,ం,బ,1
surya/raw,ర,గ,1
surya/raw,ఫ,హ,1
surya/raw,స,హ,1
surya/raw,్,ఆ,1
surya/raw,మ,ర,1
surya/raw,ర,మ,1
surya/raw,ళ,త,1
surya/raw,క,ల,1
surya/raw,ం,౦,1
surya/raw,్,మ,1
surya/raw,ై,ష,1
surya/raw,ే,చ,1
surya/raw,త,ె,1
surya/raw,చ,ఫ,1
surya/raw,ర,క,1
surya/raw,ల,‌,1
surya/raw,జ, ,1
surya/raw,ట,ణ,1
surya/raw,ి,ఘ,1
surya/raw,ర,హ,1
surya/raw,త,మ,1
surya/raw,ల,ి,1
surya/raw,ర,ె,1
surya/raw,చ,వ,1
surya/raw,ు,ఘ,1
surya/raw,ీ,ౌ,1
surya/raw,జ,ి,1
surya/raw,జ,భ,1
surya/raw,ర,ప,1
surya/raw,చ,ల,1
surya/raw,త,చ,1
surya/raw,ా,న,1
surya/raw,న,ద,1
surya/raw,ు,ౌ,1
surya/raw,గ,మ,1
surya/raw,ణ,స,1
surya/raw,గ,ద,1
surya/raw,డ,ు,1
surya/raw,న,్,1
surya/raw,య,హ,1
surya/raw,క,వ,1
surya/raw,ల,ొ,1
surya/raw,వ,డ,1
surya/raw,ధ, ,1
surya/raw,్,చ,1
surya/raw,భ, ,1
surya/raw,త,ో,1
surya/raw,య,ీ,1
surya/raw,గ,ర,1
surya/raw,ధ,ద,1
surya/raw,ణ,ల,1
surya/raw,మ,శ,1
surya/raw,ఖ,వ,1
surya/raw,ి,ఎ,1
surya/raw,డ,జ,1
surya/raw,్,భ,1
surya/raw,ట, ,1
surya/raw,ో,ొ,1
surya/raw,ె,ు,1
surya/raw,య,ా,1
surya/raw,ద,ణ,1
surya/raw,మ,డ,1
surya/raw,్,ఘ,1
surya/raw,త,ప,1
surya/raw,న,ు,1
surya/raw,ఘ,య,1
surya/raw,చ,ప,1
surya/raw,ా,ర,1
surya/raw,త,వ,1
surya/raw,స,ీ,1
surya/raw,ష,జ,1
surya/raw,ద,ా,1
surya/raw,ట,ద,1
surya/raw,జ,శ,1
surya/raw,ె,ా,1
surya/raw,ర,్,1
surya/raw,ు,ణ,1
surya/raw,ృ, ,1
surya/raw,ే,ం,1
surya/raw,ట,ి,1
surya/raw,డ,త,1
surya/raw,భ,ట,1
surya/raw,జ,ం,1
surya/raw,ూ,ర,1
surya/raw,ో,ి,1
surya/raw,వ,ం,1
surya/raw,డ,గ,1
surya/raw,చ,జ,1
surya/raw,భ,హ,1
surya/raw,ా,ె,1
surya/raw,ు,డ,1
surya/raw,డ, ,1
surya/raw,ద,ి,1
surya/raw,జ,ప,1
surya/raw,భ,మ,1
surya/raw,ై,ర,1
surya/raw,ద,ల,1
surya/raw,ప,ా,1
surya/raw,ర,ధ,1
surya/raw,మ,థ,1
surya/raw,ే,ీ,1
surya/raw,ూ,‌,1
surya/raw,శ,త,1
surya/raw,ష,బ,1
surya/raw,ి,‌,1
surya/raw,ూ,ు,1
surya/raw,త,క,1
surya/raw,మ,త,1
surya/raw,ె, ,1
surya/raw,డ,క,1
surya/raw,ీ,ు,1
surya/raw,స,గ,1
surya/raw,ు,స,1
surya/raw,న,ౌ,1
surya/raw,బ,మ,1
surya/raw,బ,ప,1
surya/raw,గ,ధ,1
surya/raw,య,ు,1
surya/raw,ై,ఉ,1
surya/raw,బ,ద,1
surya/raw,ర,ే,1
surya/raw,్,శ,1
surya/processed,ట,గ,1
surya/processed,భ,ం,1
surya/processed,థ,ధ,1
surya/processed,ధ,మ,1
surya/processed,హ,ణ,1
surya/processed,ే,ు,1
surya/processed,ే,గ,1
surya/processed,ద,య,1
surya/processed,ో,ూ,1
surya/processed,ం,ర,1
surya/processed,గ,్,1
surya/processed,స,వ,1
surya/processed,ధ,జ,1
surya/processed,ల,స,1
surya/processed,స,థ,1
surya/processed,జ,స,1
surya/processed,గ, ,1
surya/processed,ర,ళ,1
surya/processed,్,ళ,1
surya/processed,త,ు,1
surya/processed,శ,ీ,1
surya/processed,బ,ష,1
surya/processed,జ,ో,1
surya/processed,థ,భ,1
surya/processed,స,హ,1
surya/processed,ఇ,ు,1
surya/processed,ష,ట,1
surya/processed,ె,ో,1
surya/processed,శ,గ,1
surya/processed,ర,స,1
surya/processed,ొ,గ,1
surya/processed,ూ,‍,1
surya/processed,ొ,య,1
surya/processed,జ,డ,1
surya/processed,ణ,ట,1
surya/processed,ర,ఖ,1
surya/processed,ి,త,1
surya/processed,ో,ప,1
surya/processed,ౌ,ర,1
surya/processed,న,ళ,1
surya/processed,న,ై,1
surya/processed,య,బ,1
surya/processed,శ,న,1
surya/processed,క,ే,1
surya/processed,ి,ష,1
surya/processed,జ,య,1
surya/processed,ల,ళ,1
surya/processed,ట,ి,1
surya/processed,ే,య,1
surya/processed,శ,ా,1
surya/processed,న,భ,1
surya/processed,ట,ై,1
surya/processed,ల,ృ,1
surya/processed,ో,ణ,1
surya/processed,న,్,1
surya/processed,క,మ,1
surya/processed,ై,స,1
surya/processed,ై,ష,1
surya/processed,ఉ,్,1
surya/processed,ం,త,1
surya/processed,ట,ప,1
surya/processed,ట,క,1
surya/processed,చ,ద,1
surya/processed,య,స,1
surya/processed,ధ,ర,1
surya/processed,య,ఛ,1
surya/processed,ఉ,ద,1
surya/processed,శ,హ,1
surya/processed,ట,థ,1
surya/processed,ల,హ,1
surya/processed,ు,వ,1
surya/processed,వ,ి,1
surya/processed,ే,న,1
surya/processed,శ,ం,1
surya/processed,శ,య,1
surya/processed,ల,గ,1
surya/processed,మ,డ,1
surya/processed,ు,ఛ,1
surya/processed,ద,ణ,1
surya/processed,మ,న,1
surya/processed,భ,న,1
surya/processed,ై,ీ,1
surya/processed,య,ృ,1
surya/processed,ు,బ,1
surya/processed,స,్,1
surya/processed,ణ,ౌ,1
surya/processed,ీ,ం,1
surya/processed,ి,గ,1
surya/processed,క,్,1
surya/processed,ఉ,ప,1
surya/processed,మ,ప,1
surya/processed,ు,ట,1
surya/processed,శ,ష,1
surya/processed,ద,ష,1
surya/processed,బ,్,1
surya/processed,్,వ,1
surya/processed,శ,క,1
surya/processed,ఇ,ర,1
surya/processed,ఈ,ి,1
surya/processed,య,ధ,1
surya/processed,ు,ఘ,1
surya/processed,ీ,ద,1
surya/processed,చ,డ,1
surya/processed,ె,ల,1
surya/processed,హ,ప,1
surya/processed,ృ,ు,1
surya/processed,ై,ు,1
surya/processed,ట,ల,1
surya/processed,ి,ఉ,1
surya/processed,్,య,1
surya/processed,స, ,1
surya/processed,ళ,ట,1
surya/processed,గ,ఞ,1
surya/processed,త,ష,1
surya/processed,ు,ప,1
surya/processed,ీ,న,1
surya/processed,ా,డ,1
surya/processed,ట,ా,1
surya/processed,డ,ె,1
surya/processed,న,ె,1
surya/processed,మ,గ,1
surya/processed,జ,చ,1
surya/processed,ల,‌,1
surya/processed,ర,చ,1
surya/processed,ద,త,1
surya/processed,ర,ప,1
surya/processed,శ,చ,1
surya/processed,న,చ,1
surya/processed,శ,ూ,1
surya/processed,ూ,వ,1
surya/processed,ా,౮,1
surya/processed,ు,ఝ,1
surya/processed,ీ,ౌ,1
surya/processed,ి,స,1
surya/processed,జ,శ,1
surya/processed,చ,ీ,1
surya/processed,ర,ణ,1
surya/processed,ా,‌,1
surya/processed,ు,స,1
surya/processed,గ,ం,1
surya/processed,ు,ద,1
surya/processed,క,ట,1
surya/processed,ధ, ,1
surya/processed,్,ొ,1
surya/processed,ఫ,ప,1
surya/processed,్,ష,1
surya/processed,ప,ళ,1
surya/processed,గ,స,1
surya/processed,మ,శ,1
surya/processed,ఖ,వ,1
surya/processed,ు,థ,1
surya/processed,ో,ొ,1
surya/processed,ప,ై,1
surya/processed,ొ, ,1
surya/processed,త,ీ,1
surya/processed,గ,ప,1
surya/processed,భ,ూ,1
surya/processed,ా,ల,1
surya/processed,ప,య,1
surya/processed,ర,వ,1
surya/processed,ధ,్,1
surya/processed,మ,ష,1
surya/processed,ళ,ా,1
surya/processed,ళ,్,1
surya/processed,డ,క,1
surya/processed,స,ల,1
surya/processed,ి,ప,1
surya/processed,్,భ,1
surya/processed,జ,ు,1
surya/processed,ె,త,1
surya/processed,ు,ణ,1
surya/processed,ె,ా,1
surya/processed,క,ా,1
surya/processed,ృ,ం,1
surya/processed,ే,వ,1
surya/processed,ట,ృ,1
surya/processed,డ,ధ,1
surya/processed,భ,గ,1
surya/processed,జ,ల,1
surya/processed,ప,హ,1
surya/processed,ర,హ,1
surya/processed,స,ె,1
surya/processed,ై,ం,1
surya/processed,చ,జ,1
surya/processed,్,చ,1
surya/processed,ొ,ౌ,1
surya/processed,ద,బ,1
surya/processed,భ,మ,1
surya/processed,ై,ర,1
surya/processed,మ,థ,1
surya/processed,ో,ర,1
surya/processed,ద,ధ,1
surya/processed,ూ,ం,1
surya/processed,మ,ట,1
surya/processed,న,ృ,1
surya/processed,బ,మ,1
surya/processed,వ,జ,1
surya/processed,ల,ష,1
surya/processed,బ,గ,1
surya/processed,య,ఉ,1
surya/processed,త,బ,1
surya/processed,ళ,స,1
surya/processed,వ,ష,1
surya/processed,వ,ూ,1
surya/processed,య,డ,1
surya/processed,ద,ా,1
surya/processed,ర,మ,1
surya/processed,డ,జ,1
surya/processed,ఖ,ి,1
surya/processed,స,త,1
surya/processed,ు,హ,1
surya/processed,ష,చ,1
surya/processed,ట,జ,1
surya/processed,ర,ం,1
surya/processed,ా,శ,1
surya/processed,ణ,ే,1
surya/processed,స,ూ,1
surya/processed,ే,ద,1
surya/processed,ం,ే,1
surya/processed,వ,‍,1
surya/processed,ఐ,వ,1
surya/processed,ఐ,ి,1
surya/processed,ష,డ,1
surya/processed,ళ,ి,1
surya/processed,ల,ు,1
surya/processed,స,క,1
surya/processed,ూ,ొ,1
surya/processed,ళ,న,1
surya/processed,బ,ర,1
surya/processed,భ,ర,1
surya/processed,క,స,1
surya/processed,ా,స,1
surya/processed,ల,ై,1
surya/processed,ఊ, ,1
surya/processed,గ,వ,1
surya/processed,ప,ష,1
surya/processed,అ,ప,1
surya/processed,ు,చ,1
surya/processed,ౌ,ా,1
surya/processed,శ,ఫ,1
surya/processed,మ,ల,1
surya/processed,ృ,ో,1
surya/processed,ీ,్,1
surya/processed,్,న,1
surya/processed,థ,ి,1
surya/processed,డ,ై,1
surya/processed,ట,న,1
surya/processed,ి,ూ,1
surya/processed,ప,ా,1
surya/processed,ే,మ,1
surya/processed,ద,చ,1
surya/processed,డ,న,1
surya/processed,జ,భ,1
surya/processed,ర,ఠ,1
surya/processed,క,ద,1
surya/processed,న,శ,1
surya/processed,గ,క,1
surya/processed,జ, ,1
surya/processed,త,‍,1
surya/processed,ట,ూ,1
surya/processed,హ,ె,1
surya/processed,ృ, ,1
surya/processed,ఢ, ,1
surya/processed,థ,ే,1
surya/processed,క,గ,1
surya/processed,ఇ,ి,1
surya/processed,ి,ఒ,1
surya/processed,బ,ఒ,1
surya/processed,ు,ీ,1
surya/processed,వ,క,1
surya/processed,భ,బ,1
surya/processed,ణ,ల,1
surya/processed,ం,బ,1
surya/processed,చ,త,1
surya/processed,గ,శ,1
surya/processed,ొ,్,1
surya/processed,ఆ, ,1
surya/processed,ె, ,1
surya/processed,భ,ళ,1
surya/processed,ష,ళ,1
surya/processed,ణ,ి,1
surya/processed,ః,ం,1
surya/processed,్,ే,1
surya/processed,హ,ర,1
surya/processed,అ,్,1
surya/processed,భ,వ,1
surya/processed,ర,బ,1
surya/processed,ం,ధ,1
surya/processed,శ,ప,1
surya/processed,అ,క,1
surya/processed,వ,ా,1
surya/processed,జ,హ,1
surya/processed,ద,హ,1
surya/processed,ో,త,1
surya/processed,ీ,య,1
surya/processed,గ,ే,1
surya/processed,ీ,ల,1
surya/processed,ా,ణ,1
surya/processed,ూ,మ,1
surya/processed,క,౬,1
surya/processed,ి,౬,1
surya/processed,ై,వ,1
surya/processed,మ,ీ,1
surya/processed,్,స,1
surya/processed,త,ౌ,1
surya/processed,ె,ొ,1
surya/processed,ప,ణ,1
surya/processed,న,డ,1
surya/processed,డ,ు,1
surya/processed,క,య,1
surya/processed,చ,ే,1
surya/processed,ఒ,బ,1
surya/processed,డ,వ,1
surya/processed,ి,మ,1
surya/processed,ం,శ,1
surya/processed,శ,్,1
surya/processed,భ,క,1
surya/processed,ఏ,ే,1
surya/processed,స,ే,1
surya/processed,న,ే,1
surya/processed,జ,ం,1
surya/processed,ి,ె,1
surya/processed,య,గ,1
surya/processed,గ,చ,1
surya/processed,ఊ,ో,1
surya/processed,క,౮,1
surya/processed,వ,ం,1
surya/processed,ి,ౌ,1
surya/processed,ప,బ,1
surya/processed,ద,గ,1
surya/processed,ష,ల,1
surya/processed,చ,ర,1
surya/processed,ద,క,1
surya/processed,ధ,ష,1
surya/processed,చ,ప,1
surya/processed,ం,ఠ,1
surya/processed,్,శ,1
surya/processed,మ,్,1
surya/processed,వ,థ,1
surya/processed,గ,ి,1
surya/processed,ల,య,1
surya/processed,జ,ె,1
surya/processed,ల,ం,1
surya/processed,న,ట,1
surya/processed,ా,గ,1
surya/processed,అ,ల,1
surya/processed,త,ధ,1
surya/processed,శ,వ,1
surya/processed,ఖ,ా,1
surya/processed,హ,ం,1
surya/processed,య,ఆ,1
surya/processed,త,ఫ,1
tesseract/raw,చ,వ,1
tesseract/raw,ల,ే,1
tesseract/raw,న,ం,1
tesseract/raw,చ,న,1
tesseract/raw,త,వ,1
tesseract/raw,్,ె,1
tesseract/raw,ఆ,ీ,1
tesseract/raw,ఊ,ీ,1
tesseract/raw,హ,ట,1
tesseract/raw,ి,ౌ,1
tesseract/raw,న,ర,1
tesseract/raw,జ,్,1
tesseract/raw,గ,ో,1
tesseract/raw,్,గ,1
tesseract/raw,జ,ల,1
tesseract/raw,ప,ే,1
tesseract/raw,థ,ర,1
tesseract/raw,ా,‌,1
tesseract/raw,ల,క,1
tesseract/raw,ు,్,1
tesseract/raw,ర,జ,1
tesseract/raw,ఉ,ే,1
tesseract/raw,న,మ,1
tesseract/raw,బ,ౌ,1
tesseract/raw,య,ా,1
tesseract/raw,ణ,థ,1
tesseract/raw,ర, ,1
tesseract/raw,థ,ో,1
tesseract/raw,ణ,ై,1
tesseract/raw,శ,ే,1
tesseract/raw,త,‌,1
tesseract/raw,చ,్,1
tesseract/raw,ి,బ,1
tesseract/raw,ద,చ,1
tesseract/raw,ట,ి,1
tesseract/raw,క,హ,1
tesseract/raw,ి,ై,1
tesseract/raw,చ,బ,1
tesseract/raw,ర,ఎ,1
tesseract/raw,ర,ె,1
tesseract/raw,ధ,థ,1
tesseract/raw,ద,వ,1
tesseract/raw,మ,వ,1
tesseract/raw,వ,ఘ,1
tesseract/raw,ఉ,ఊ,1
tesseract/raw,య,త,1
tesseract/raw,ం,ా,1
tesseract/raw,అ,ట,1
tesseract/raw,ద,ో,1
tesseract/raw,గ,్,1
tesseract/raw,ణ,త,1
tesseract/raw,చ,త,1
tesseract/raw,త,ో,1
tesseract/raw,ు,ో,1
tesseract/raw,ప,బ,1
tesseract/raw,ే,థ,1
tesseract/raw,ధ,ఠ,1
tesseract/raw,ద,ే,1
tesseract/raw,క,శ,1
tesseract/raw,ప,ఘ,1
tesseract/raw,ఉ,ి,1
tesseract/raw,భ,ణ,1
tesseract/raw,ే,ీ,1
tesseract/raw,ణ,శ,1
tesseract/raw,అ,ల,1
tesseract/raw,ప,ర,1
tesseract/raw,త,ర,1
tesseract/raw,ర,హ,1
tesseract/raw,ే,ౌ,1
tesseract/raw,వ,ూ,1
tesseract/raw,బ,ు,1
tesseract/raw,ఆ,ి,1
tesseract/raw,శ,స,1
tesseract/raw,వ,ే,1
tesseract/raw,న,ా,1
tesseract/raw,ట,క,1
tesseract/raw,ె,ద,1
tesseract/raw,ద,ీ,1
tesseract/raw,స,త,1
tesseract/raw,ద, ,1
tesseract/raw,ీ,బ,1
tesseract/raw,్,క,1
tesseract/raw,ష,ే,1
tesseract/raw,చ, ,1
tesseract/raw,ై,ద,1
tesseract/raw,జ,ే,1
tesseract/raw,శ,వ,1
tesseract/raw,ద,బ,1
tesseract/raw,్,ీ,1
tesseract/raw,త,ీ,1
tesseract/raw,స,చ,1
tesseract/raw,ం, ,1
tesseract/raw,హ,్,1
tesseract/raw,ృ,ర,1
tesseract/raw,ా,ఎ,1
tesseract/raw,ప,డ,1
tesseract/raw,ర,వ,1
tesseract/raw,ష,డ,1
tesseract/raw,ధ,౦,1
tesseract/raw,ల,ధ,1
tesseract/raw,య,గ,1
tesseract/raw,ల,ఖ,1
tesseract/raw,స,ల,1
tesseract/raw,త,బ,1
tesseract/raw,త,ొ,1
tesseract/raw,ర,న,1
tesseract/raw,చ,మ,1
tesseract/raw,డ,గ,1
tesseract/raw,ట,వ,1
tesseract/raw,మ,డ,1
tesseract/raw,అ,త,1
tesseract/raw,వ, ,1
tesseract/raw,త, ,1
tesseract/raw,క,ీ,1
tesseract/raw,త,ు,1
tesseract/raw,న,ీ,1
tesseract/raw,ీ,ొ,1
tesseract/raw,ళ,త,1
tesseract/raw,ర,స,1
tesseract/raw,ప,క,1
tesseract/raw,క,ఫ,1
tesseract/raw,ా,ు,1
tesseract/raw,ద,ల,1
tesseract/raw,ఇ,ృ,1
tesseract/raw,ొ,ో,1
tesseract/raw,భ,ట,1
tesseract/raw,క,ఠ,1
tesseract/raw,వ,ీ,1
tesseract/raw,ం,హ,1
tesseract/raw,బ,ో,1
tesseract/raw,డ,్,1
tesseract/raw,ర,్,1
tesseract/raw,ట,ే,1
tesseract/raw,ల,ి,1
tesseract/raw,ం,ఇ,1
tesseract/raw,బ,భ,1
tesseract/raw,ి,మ,1
tesseract/raw,జ,వ,1
tesseract/raw,ధ, ,1
tesseract/raw,మ,గ,1
tesseract/raw,భ,్,1
tesseract/raw,ి,గ,1
tesseract/raw,క,ప,1
tesseract/raw,వ,ట,1
tesseract/raw,క,వ,1
tesseract/raw,్,ల,1
tesseract/raw,త,థ,1
tesseract/raw,ం,౦,1
tesseract/raw,య,న,1
tesseract/raw,ో,్,1
tesseract/raw,న,య,1
tesseract/raw,ు,ూ,1
tesseract/raw,డ,వ,1
tesseract/raw,్,ణ,1
tesseract/raw,ీ, ,1
tesseract/raw,డ,ే,1
tesseract/raw,ర,ఆ,1
tesseract/raw,జ,గ,1
tesseract/raw,ె,ర,1
tesseract/raw,న,ు,1
tesseract/raw,ి,అ,1
tesseract/raw,ఒ,బ,1
tesseract/raw,బ,న,1
tesseract/raw,ొ,జ,1
tesseract/raw,ే,భ,1
tesseract/raw,ప,ో,1
tesseract/raw,్,ట,1
tesseract/raw,ప, ,1
tesseract/raw,ర,మ,1
tesseract/raw,ా,ై,1
tesseract/raw,త,క,1
tesseract/raw,ల,ు,1
tesseract/raw,ఏ,ై,1
tesseract/raw,ొ,ల,1
tesseract/raw,త,ూ,1
tesseract/raw,ై,స,1
tesseract/raw,ల,భ,1
tesseract/raw,య,ర,1
tesseract/raw,ఆ,ల,1
tesseract/raw,ర,ొ,1
tesseract/raw,ా,డ,1
tesseract/raw,య,ి,1
tesseract/raw,మ,న,1
tesseract/raw,డ,ట,1
tesseract/raw,ొ,ా,1
tesseract/raw,ఐ,మ,1
tesseract/raw,ట,్,1
tesseract/raw,ీ,డ,1
tesseract/raw,ష,్,1
tesseract/raw,ట,ల,1
tesseract/raw,ే,ొ,1
tesseract/raw,ప,గ,1
tesseract/raw,ో,ి,1
tesseract/raw,డ,ు,1
tesseract/raw,శ,చ,1
tesseract/raw,య,ీ,1
tesseract/raw,మ,హ,1
tesseract/raw,జ,ట,1
tesseract/raw,బ,మ,1
tesseract/raw,్,బ,1
