configuration,reference_character,hypothesis_character,count
surya/processed,ం,్,5
surya/processed,ర,త,5
surya/processed,డ,ట,5
surya/processed,య,ర,5
surya/processed,ల,ర,5
surya/processed,ి,ం,5
surya/processed,ీ,ి,5
surya/processed,య, ,5
surya/processed,ు,ం,5
tesseract/raw,ి,ే,5
tesseract/raw,చ,ల,5
tesseract/raw,ా,ర,5
tesseract/raw,క,ర,5
tesseract/raw,ా,ూ,5
tesseract/raw,ి,ం,5
tesseract/raw,ే,ో,5
tesseract/raw,అ,ఆ,5
tesseract/processed,న,ా,5
tesseract/processed,చ,వ,5
tesseract/processed,ర,ా,5
tesseract/processed,ప,్,5
tesseract/processed,ా,న,5
tesseract/processed,వ,బ,5
tesseract/processed,్,ే,5
tesseract/processed,క,మ,5
tesseract/processed,ో,‌,5
tesseract/processed,ద,ట,5
tesseract/processed,ి,ట,5
tesseract/processed,క,త,5
tesseract/processed,ప,ద,5
tesseract/processed,్,ో,5
tesseract/processed,వ,మ,5
tesseract/processed,ి,్,5
tesseract/processed,న,ీ,5
tesseract/processed,్,స,5
tesseract/processed,ు,న,5
tesseract/processed,ా,ర,5
tesseract/processed,ర,య,5
tesseract/processed,ు,ల,5
tesseract/processed,బ, ,5
tesseract/processed,డ,ు,5
tesseract/processed,్,ర,5
tesseract/processed,ే,ర,5
tesseract/processed,డ,ర,5
tesseract/processed,్,త,5
tesseract/processed,ె,ు,5
tesseract/processed,ప,మ,5
tesseract/processed,ర,డ,5
tesseract/processed,క,ద,5
surya/raw,ే,ి,4
surya/raw,ప,ద,4
surya/raw,్,ల,4
surya/raw,ి,‍,4
surya/raw,ే,ు,4
surya/raw,ద,డ,4
surya/raw,ల,్,4
surya/raw,వ,మ,4
surya/raw,ర,త,4
surya/raw,ూ,ా,4
surya/raw,ర,ట,4
surya/raw,ై,ు,4
surya/raw,ు,ర,4
surya/raw,య,మ,4
surya/raw,స,న,4
surya/raw,ల,క,4
surya/raw,ు,య,4
surya/raw,ా,ో,4
surya/raw,య, ,4
surya/raw,ప,్,4
surya/raw,చ, ,4
surya/processed,ర,ి,4
surya/processed,వ,య,4
surya/processed,ల,న,4
surya/processed,ా,్,4
surya/processed,చ,హ,4
surya/processed,ా,ం,4
surya/processed,్,గ,4
surya/processed,స,ప,4
surya/processed,ొ,ా,4
surya/processed,వ,ు,4
surya/processed,చ,ట,4
surya/processed,ీ, ,4
surya/processed,ి,ల,4
surya/processed,చ,క,4
surya/processed,ర,క,4
surya/processed,చ,ు,4
surya/processed,న,ా,4
surya/processed,బ, ,4
surya/processed,త,న,4
surya/processed,ో,ు,4
surya/processed,ి,ణ,4
surya/processed,ు,‍,4
surya/processed,ే,ా,4
surya/processed,ా,య,4
surya/processed,య,ి,4
surya/processed,ల, ,4
surya/processed,త,ట,4
surya/processed,ప,డ,4
surya/processed,ద,ల,4
surya/processed,వ,ర,4
surya/processed,ర,శ,4
surya/processed,ల,ద,4
surya/processed,ద,ర,4
surya/processed,గ,ర,4
surya/processed,ల,ట,4
surya/processed,ీ,ా,4
surya/processed,ే,ం,4
surya/processed,ం,ు,4
surya/processed,ట,ద,4
surya/processed,ల,్,4
surya/processed,క,ల,4
surya/processed,ా,ె,4
tesseract/raw,వ,య,4
tesseract/raw,ి,త,4
tesseract/raw,ల,త,4
tesseract/raw,ర,క,4
tesseract/raw,ూ,ా,4
tesseract/raw,ు,ర,4
tesseract/raw,య,మ,4
tesseract/raw,ర,డ,4
tesseract/raw,ీ,ో,4
tesseract/raw,ు,ట,4
tesseract/raw,ు,ం,4
tesseract/processed,గ,న,4
tesseract/processed,వ,య,4
tesseract/processed,ి,య,4
tesseract/processed,ి,ఆ,4
tesseract/processed,ల,అ,4
tesseract/processed,ో,ొ,4
tesseract/processed,ద,మ,4
tesseract/processed,ల,ి,4
tesseract/processed,క,ే,4
tesseract/processed,ూ,ో,4
tesseract/processed,చ,మ,4
tesseract/processed,ు,ా,4
tesseract/processed,స, ,4
tesseract/processed,ు,ే,4
tesseract/processed,ా,త,4
tesseract/processed,ే,న,4
tesseract/processed,ి,వ,4
tesseract/processed,ప,బ,4
tesseract/processed,ట,ర,4
tesseract/processed,క,ు,4
tesseract/processed,ట,య,4
tesseract/processed,చ,య,4
tesseract/processed,ర,ే,4
tesseract/processed,య,వ,4
tesseract/processed,మ,ు,4
tesseract/processed,డ,ద,4
tesseract/processed,వ,గ,4
tesseract/processed,స,ల,4
tesseract/processed,న,మ,4
tesseract/processed,ి,గ,4
tesseract/processed,ో,ర,4
tesseract/processed,ు,ీ,4
tesseract/processed,ణ,ల,4
tesseract/processed,ద,ర,4
tesseract/processed,హ,ా,4
surya/raw,్,ా,3
surya/raw,ర,ి,3
surya/raw,ి,ం,3
surya/raw,ల,ర,3
surya/raw,స,ప,3
surya/raw,ర,ా,3
surya/raw,ం,ు,3
surya/raw,ో, ,3
surya/raw,ో,ౌ,3
surya/raw,ో,ం,3
surya/raw,చ,క,3
surya/raw,ే,ో,3
surya/raw,ల,వ,3
surya/raw,క,ప,3
surya/raw,ీ, ,3
surya/raw,న,గ,3
surya/raw,ర,వ,3
surya/raw,ఏ,ి,3
surya/raw,డ,య,3
surya/raw,ా,్,3
surya/raw,క,ర,3
surya/raw,ి,ో,3
surya/raw,వ,ి,3
surya/raw,న, ,3
surya/raw,ర,ద,3
surya/raw,ు,ా,3
surya/raw,్,న,3
surya/raw,ల,ా,3
surya/raw,మ, ,3
surya/raw,ద,ర,3
surya/raw,ప,ట,3
surya/raw,ీ,ో,3
surya/raw,ల,ట,3
surya/raw,వ,ఎ,3
surya/processed,ొ,ి,3
surya/processed,ే,ౌ,3
surya/processed,ి,న,3
surya/processed,ద,ి,3
surya/processed,ె,ర,3
surya/processed,ప,ట,3
surya/processed,త,ప,3
surya/processed,ె,ి,3
surya/processed,వ,ల,3
surya/processed,మ,క,3
surya/processed,ప,స,3
surya/processed,ర,ట,3
surya/processed,జ,ర,3
surya/processed,న,వ,3
surya/processed,ద,్,3
surya/processed,ి,జ,3
surya/processed,చ,య,3
surya/processed,ల,ా,3
surya/processed,త,య,3
surya/processed,ఏ,ి,3
surya/processed,క,ర,3
surya/processed,ట,స,3
surya/processed,ల,ి,3
surya/processed,ట,త,3
surya/processed,త,ద,3
surya/processed,ు,ర,3
surya/processed,ు,మ,3
surya/processed,య,ట,3
surya/processed,స,మ,3
surya/processed,ు,ె,3
surya/processed,న,హ,3
surya/processed,ొ,ో,3
surya/processed,ా,ో,3
surya/processed,ా,‍,3
surya/processed,ు,‌,3
surya/processed,ా,ై,3
surya/processed,య,వ,3
surya/processed,ద,న,3
surya/processed,గ,మ,3
surya/processed,ర,య,3
