model,comparison,baseline_stage,candidate_stage,level,metric,pairs,baseline_mean,candidate_mean,absolute_change,relative_change,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,test,statistic,p_value
tesseract,run_1_to_run_2,run_1,run_2,word,exact_match,961,0.001040582726326743,0.01040582726326743,0.009365244536940686,8.999999999999998,0.004162330905306972,0.015608740894901144,9,952,0,wilcoxon,0.0,0.0026997960632601866
tesseract,run_1_to_run_2,run_1,run_2,word,missing_output,961,0.4308012486992716,0.29136316337148804,-0.13943808532778357,-0.32367149758454106,-0.16545265348595214,-0.11342351716961499,161,773,27,wilcoxon,2551.5,1.4709869279585937e-22
tesseract,run_1_to_run_2,run_1,run_2,word,runtime,961,0.6266770359804764,0.5945631071030122,-0.032113928877464226,-0.0512447832514238,-0.04089720668005554,-0.023798062701580063,617,0,344,wilcoxon,149758.0,3.277951402442748e-21
tesseract,run_1_to_run_2,run_1,run_2,page,cer,40,0.7794580861175792,0.6974321174125115,-0.08202596870506762,-0.1052346112844023,-0.09253864211669906,-0.07069429991415488,39,0,1,wilcoxon,1.0,3.637978807091713e-12
tesseract,run_1_to_run_2,run_1,run_2,page,wer,40,1.246459165834166,1.2666174767261724,0.02015831089200648,0.01617245991248816,-0.0312396350026785,0.06997221428933381,10,16,14,wilcoxon,116.5,0.33842120797857067
tesseract,run_1_to_run_2,run_1,run_2,page,exact_match,40,0.0,0.0,0.0,nan,0.0,0.0,0,40,0,wilcoxon,0.0,1.0
tesseract,run_1_to_run_2,run_1,run_2,page,missing_output,40,0.43064887648583305,0.2924357110281023,-0.13821316545773077,-0.3209416603743944,-0.16861433380930663,-0.11061865991798057,38,2,0,wilcoxon,0.0,7.622233624189812e-08
tesseract,run_1_to_run_2,run_1,run_2,page,runtime,40,15.055915789430946,14.284378648149868,-0.7715371412810779,-0.05124478325142379,-1.3168405148302214,-0.25309519402108227,30,0,10,wilcoxon,190.0,0.0025129065124929184
tesseract,raw_to_run_2,raw,run_2,word,cer,961,0.9077221757043634,0.7951491045663782,-0.1125730711379852,-0.12401709923042488,-0.13083264215389528,-0.09434832323051931,465,345,151,wilcoxon,43063.0,6.303564942290867e-32
tesseract,raw_to_run_2,raw,run_2,word,wer,961,1.0343392299687826,1.396462018730489,0.36212278876170645,0.35010060362173023,0.32049947970863685,0.40582726326742974,18,656,287,wilcoxon,2142.0,1.5242030862489716e-48
tesseract,raw_to_run_2,raw,run_2,word,exact_match,961,0.009365244536940686,0.01040582726326743,0.0010405827263267435,0.11111111111111117,-0.007284079084287201,0.01040582726326743,9,944,8,wilcoxon,72.0,0.8083651559145103
tesseract,raw_to_run_2,raw,run_2,word,missing_output,961,0.7596253902185224,0.29136316337148804,-0.46826222684703434,-0.6164383561643836,-0.502627471383975,-0.4328824141519251,482,447,32,wilcoxon,8240.0,1.1320358257529062e-87
tesseract,raw_to_run_2,raw,run_2,word,runtime,961,0.9180900845826117,0.5945631071030122,-0.32352697747959946,-0.35239132075659385,-0.33196223074093495,-0.3153447554872224,957,0,4,wilcoxon,735.0,7.548013577600947e-158
tesseract,raw_to_run_2,raw,run_2,page,cer,40,0.85379485581977,0.6974321174125115,-0.15636273840725845,-0.18313853420576887,-0.18970595342610916,-0.1254294748424582,40,0,0,wilcoxon,0.0,1.8189894035458565e-12
tesseract,raw_to_run_2,raw,run_2,page,wer,40,0.9905028703180877,1.2666174767261724,0.2761146064080847,0.27876204570655505,0.19091572806722265,0.361105957765061,1,14,25,wilcoxon,1.0,9.269141017315332e-06
tesseract,raw_to_run_2,raw,run_2,page,exact_match,40,0.0,0.0,0.0,nan,0.0,0.0,0,40,0,wilcoxon,0.0,1.0
tesseract,raw_to_run_2,raw,run_2,page,missing_output,40,0.7594769433465085,0.2924357110281023,-0.4670412323184062,-0.6149511666021972,-0.5405412437652927,-0.3990351526643646,40,0,0,wilcoxon,0.0,3.554271352232285e-08
tesseract,raw_to_run_2,raw,run_2,page,runtime,40,22.057114282097245,14.284378648149868,-7.772735633947377,-0.35239132075659385,-8.087701199071741,-7.482803661376042,40,0,0,wilcoxon,0.0,1.8189894035458565e-12
tesseract,raw_to_run_2,raw,run_2,page,llm_score,40,1.225,1.75,0.5249999999999999,0.4285714285714285,0.35,0.6756249999999909,22,17,1,wilcoxon,12.0,1.1933310815418253e-05
tesseract,raw_to_run_2,raw,run_2,page,flagged_region_rate,40,0.5647902791652791,0.6186209437454979,0.05383066458021879,0.09531089072527378,-0.05289368726484567,0.1630758946997284,18,0,22,wilcoxon,350.0,0.419941135448363
