configuration,paired_records,records,manifest_records,coverage,pages,complete_pages,corpus_cer,corpus_wer,mean_word_cer,mean_word_wer,mean_page_cer,mean_page_wer,exact_accuracy,missing_output_rate
surya/raw,512,512,512,1.0,22,21,0.6772754915872694,292.0,0.8082412425012772,1.296875,0.6943695406409183,1.0392554612712717,0.025390625,0.5
surya/processed,512,512,512,1.0,22,21,0.7046422055544294,316.0,0.90421173079479,1.33984375,0.7200714831409152,1.0466674267761225,0.017578125,0.51171875
tesseract/raw,512,512,512,1.0,22,21,0.7630245286843705,131.0,0.881737622569424,1.048828125,0.8134616008624532,0.990675230566535,0.009765625,0.68359375
tesseract/processed,512,512,512,1.0,22,21,0.6904520575714576,318.0,0.8052333214298977,1.45703125,0.7079176113301849,1.2732271713793453,0.005859375,0.296875
