configuration,model,input_kind,records,manifest_records,coverage,pages,complete_pages,corpus_cer,corpus_wer,mean_word_cer,mean_word_wer,mean_page_cer,mean_page_wer,exact_accuracy,missing_output_rate,mean_llm_score,llm_pages,mean_flagged_region_rate,error_detection_pages,mean_cross_model_page_agreement,cross_model_pages,accuracy_rank
surya/raw,surya,raw,512,961,0.5327783558792925,22,21,0.6772754915872694,292.0,0.8082412425012772,1.296875,0.6943695406409183,1.0392554612712717,0.025390625,0.5,2.0454545454545454,22,0.45672413085866503,22,0.20339133333333334,21,1
tesseract/processed,tesseract,processed,961,961,1.0,40,40,0.6873710500597242,537.0,0.7951491045663782,1.396462018730489,0.6974321174125115,1.2666174767261724,0.01040582726326743,0.29136316337148804,1.75,40,0.6186209437454979,40,0.189254,40,2
surya/processed,surya,processed,961,961,1.0,40,40,0.6941035943099142,568.0,0.8768888384892821,1.3121748178980228,0.7054655320077875,1.058004077444295,0.02809573361082206,0.5026014568158168,1.975,40,0.4379642110340639,40,0.189254,40,3
tesseract/raw,tesseract,raw,961,961,1.0,40,40,0.7960690628732762,200.0,0.9077221757043634,1.0343392299687826,0.85379485581977,0.9905028703180877,0.009365244536940686,0.7596253902185224,1.225,40,0.5647902791652791,40,0.20339133333333334,21,4
